date,ticker,tweet_text
2024-09-04,KARW,KARW bukan bang hahahah
2024-09-04,KARW,KARW YG BELI PUCUK KARW SEMOGA MSH BISA TIDUR NYENYAK YA NANTI MALAM
2024-09-04,KARW,Mual gak tuh yg berani masuk ke lapak MG di KARW Cuyyy dari ARA kebanting ARB Wadidawww
2024-09-04,KARW,Kalau KARW mingdep tembus 10K perkiraan akan banyak TP dan disaat yg bersamaan LABA akan bukan gembok FCA Ini bakalan seru sih
2024-09-03,KARW,Jirrr KARW masih ARA cokk
2024-09-03,KARW,KARW arb tuh apa ada yang mau serok
2024-09-02,KARW,Gotion Perusahaan pabrik baterai EV yg lumayan besar LABA akan BL oleh Gotion seperti KARW Wuling merupakan pelanggan baterai dr Gotion VW merupakan pemilik mayoritas saham Gotion Wuling kuasai 52 market share EV di Indonesia Urusan angka2 colek
2024-08-30,KARW,Saham KARW Gokil ARA terus dari harga 50 perak sampai 5900
2024-08-29,KARW,KARW penyebab stonk ini
2024-08-29,KARW,Bukan maen dah kudu ekstra tapi klo udh dapet KARW keknya dah nyantai
2024-08-28,KARW,tanda_panah_kiri_kanan sepatu KARW
2024-08-27,KARW,KARW saham edannnnn
2024-08-27,KARW,Cukup min 10k lot KARW kan
2024-08-27,KARW,Bang apakah KARW baguss
2024-08-26,KARW,Gimana holder KARW udah cari ide kegiatan utk mengisi masa pensiun nanti
2024-08-26,KARW,Kan gk lucu yha udh cape cape bangun personal branding jd karyawan medioker biasa di real life amp di sosmed eh malah berjodoh ama yg suka oversharing di sosmed terkuak nilai aset sekian ampe dicurigai petugas berwenang padahal banyak duit karna gak sengaja nyangkut di KARW
2024-08-26,KARW,KARW adalah salah satunya utk saya even though kemaren jual terlalu cepat Skrg sisa 30 40 porsi awal Let s go 10 000
2024-08-26,KARW,TP KARW 1 lot buat beli gituan hu
2024-08-26,KARW,Marah marah karena kalah pilpres dan soal dinasti tanda_silang Marah marah karena ketinggalan KARW ARA terus2an dan dikandangin FCA tanda_centang_putih_tebal Tiba2 4000 ajg
2024-08-23,KARW,salam balik dari KARW angkatan 280
2024-08-21,KARW,Untuk detail memahami cara dan strategi cuan dari saham yang lagi diakuisisi aku bikin videonya khusus bisa kamu tonton di sini KARW LABA FORU JMAS EXCL
2024-08-17,KARW,Saham backdoor listing cukup legit kalau belajar dari PANI KARW dan LABA ya Tapi bisa gak sih masuk tepat sebelum kenaikan signifikan terjadi
2024-08-15,KARW,loh kamu ngelabelin diri sendiri WB Indonesia gara2 super bagger dari KARW
2024-08-15,KARW,beli KARW di 50 terus di TP 1 lot 1 lot buat makan
2024-08-03,KARW,Kalah sama kompleks ruko baru dari KARW
2024-07-30,KARW,KARW Telat buka suspennya ya om Kok bisa telat Padahal udah bs transaksi harusnya sesi I
2024-07-19,KARW,insider KARW dan FORU jelas gembokan
2024-07-15,KARW,Kapan buka lapaknya itu KARW
2024-06-05,KARW,Berikut kisah 3 saham yang gagal meroket gara gara kena suspensi dan masuk notasi khusus KARW BREN FORU IHSG
2024-03-29,KARW,Padahal KARW udah 5 bagger dan bisa aja jadi multibagger kalau kinerjanya konsisten naik terus eh keburu digembok bursa Dan setelah dibuka gembok keknya masuk ke papan notasi khusus sih Gimana prospek KARW baca selengkapnya di sini
2024-03-29,KARW,Kasus simpelnya KARW Jadi si KARW ini kan melejit karena ada pergantian pengendali dari orang Filipina menjadi Meratus LIne Kinerja di 2022 2023 ya lumayan juga meski masih alami defisiensi modal ekuitas negatif
2024-03-22,KARW,KARW suspend sementara itu BBSS NICE SONA JTPE dan TCPI UMA untuk sona kalau hari ini lock ara lagi senin suspend
2024-03-15,KARW,KARW dengan Meratus dan karena Meratus diakuisisi abu Dhabi kah
2024-03-08,KARW,RUPS Bank Mandiri BMRI memutuskan pembagian 60 Laba yang setara Rp353 95 per Lembar sementara itu KARW open suspend
2024-02-07,KARW,Oke fix kita judi di KARW
2024-02-06,KARW,Pas tau Meratus akuisis KARW kaget aja Lapkeu KARW gak bagus2 amat Tp Meratus mau akuisisi Apakah ada sesuatu Yg menarik Meratus nih
2022-12-20,KARW,KARW
2022-06-06,KARW,BCAP VICI KARW amp CARE mendekati MA200 nya swing
2022-05-31,KARW,WATCHLIST 31 MEI 2022 AMRT 1660 1690 KARW 141 143 Disc On watchlistpribadi Menu Trading Harian bs pasang antri beli sebelum market open bisa 100 antri atau HAKA 10 antri 90 dan Mulai cicil jual jika profit 2 3
2022-04-05,KARW,REVIEW 1 April 2022 Trading Harian KARW 10 1 SAME 0 hold 2hari bursa cuan 2 7 Update Hold update swing di grup tele MPOW 7 7 swing 31 Maret REVIEW 4 April Jajansore BIMA 7 5 SQMI 2 6
2022-04-01,KARW,WATCHLIST 1 APRIL 2022 2022 Swing NETV 364 370 SL 348 PMJS 134 136 SL 128 Trading Harian HIGH RISK KARW 154 157 SAME 434 442 Disc On watchlistpribadi Menu Trading Harian bisa 100 antri atau HAKA 10 antri 90 dan Mulai cicil jual jika profit 2 3
2022-03-09,KARW,Rejeki hari ini dipersembahkan oleh KARW Mayan buat beli minyak goreng
2022-02-11,KARW,BGTG lepas dah cuan gorengan aku sekarang KARW INDO MLPL new in
2022-02-11,KARW,KIOS lepas gorengan aku sekarang KARW INDO BGTG new in
2022-02-10,KARW,gorengan gw ada 3 ya KARW INDO KIOS coba di perhatikan chartnya iseng2 cek kondisinya sama
2022-02-09,KARW,KARW TA nya jadi cakep jangan kasi kendor
2022-01-28,KARW,KARW R3 jebol ledakan tembus kelangit
2022-01-11,KARW,KARW Wkwk
2022-01-10,KARW,KARW Kalau ngelihat saham terbang cek dulu coba market capnya Cuman 100 M kecil banget hehe Trus kenapa saham ini terbang Karena akan selalu ada entah kenapa selalu ada ritel yang akan beli besoknya dan yang sudah beli duluan bisa nge guyur
2022-01-10,KARW,Alert today KARW masih di support hingga breakout resistence amp ARA
2022-01-10,KARW,Senin 10 Januari 2022 Sesi 2 Gain LUCK KARW
2022-01-10,KARW,hadehhh KARW di tp malah ARA simbol_pria
2022-01-10,KARW,Kemarin nyangkut KARW 150 Tadi jual di 154 Sekarang di 195 dan hampir ARA What a day
2024-12-25,FORU,Gorengan gurih yg familiar macam FORU dan FUTR nih
2024-12-13,FORU,FREE MINT FORU AI Genesis NFTs Nanti NFT nya sebagai snapshot tambahan reward token FORU terus garapan telenya akan masuk Season 3 habis itu End lalu Airdrop FORU Garap disini Buka Connect Twitter Connect Discord amp Wallet Clear Tasks
2024-11-23,FORU,Prediksi ku FORU listing bulan Desember di dan beberapa Tier 1 CEX lainnya Bagi yang belom garap bisa garap sekarang FREE sebelum listing nanti ya kalau alokasinya sih buat yang baru garap pasti kecil tapi ya again ini FREE Buka
2024-11-22,FORU,Prediksi ku FORU listing bulan Desember di dan beberapa Tier 1 CEX lainnya Bagi yang belom garap bisa garap sekarang FREE sebelum listing nanti ya kalau alokasinya sih buat yang baru garap pasti kecil tapi ya again ini FREE Buka Connect
2024-11-02,FORU,Sampai saat ini masih bolak balik PANI amp FORU
2024-10-27,FORU,ForU AI UGC amp Ambassador Program is NOW LIVE Jadi saat ini lagi buka pendaftaran untuk jadi Ambassador nih dengan total hadiah 1M FORU Exclusive Merch amp Cash Reward Tugasnya lebih ke buat konten amp edukasi produk ForU Register ambassador
2024-09-17,FORU,FORU juga kah
2024-09-08,FORU,ฅ ฅ ForU AI FORU in FORU TON
2024-08-21,FORU,Untuk detail memahami cara dan strategi cuan dari saham yang lagi diakuisisi aku bikin videonya khusus bisa kamu tonton di sini KARW LABA FORU JMAS EXCL
2024-08-19,FORU,foru kapan buka suspend
2024-08-17,FORU,Untuk itu berikut bocoran cara cuan dari saham yang mau diakusisi serta belajar dari 5 aksi akuisisi terakhir ada yang lagi on going CAMP FORU
2024-07-20,FORU,FORU antara backdoor listing atau delisting kalau melihat perusahaan bapak ini yg semuanya pada private
2024-07-19,FORU,insider KARW dan FORU jelas gembokan
2024-06-05,FORU,Berikut kisah 3 saham yang gagal meroket gara gara kena suspensi dan masuk notasi khusus KARW BREN FORU IHSG
2024-01-30,FORU,Menarik lanjut gak haru ini FORU
2024-01-30,FORU,Salah ngambil emiten di sektor media dan percetakan tau gitu mending all in di foru dari pada nungguin tmpo udh 3 bulan nggak jalan2
2024-01-30,FORU,GAPKI melaporkan volume ekspor minyak sawit diestimasikan turun 4 YoY menjadi 29 30 juta ton di FY24E Hari ini pembukaan suspensi saham SHID amp FORU
2024-01-26,FORU,Dilihat dari pola data historis FORU setelah bikin 2 candle ijo amp volume panjang biasanya diikuti merah berjilid tren negatif ini pernah terjadi sebelumnya di bulan April amp Juli tahun lalu Irisnya tipis tipis Jadi lebih mirip saham apa ya Disc On amp Keep DYOR
2024-01-26,FORU,Karena UMA FORU kemungkinan merah amp sebatas jagain 242 kalau bid 240 ke bawah udah nggak dijagain bakal close lebih merah
2024-01-25,FORU,FORU scalping di sini rawan tapi seru bandar lokal nih Modal ga sampe 5M udah bisa bikin volatilitas harga sesuka hati tinggal nunggu aja mau dibanting kapan
2024-01-08,FORU,serius nanya soalnya dulu 2018 pernah ada sanksi denda ratusan juta orang krn kasus ginian tertuduh Perdagangan Semu di saham TMPI amp FORU Definisi perdagangan semu amp Klasifikasi transaksi yg dinyatakan semu itu gimana colek senior
2023-07-26,FORU,Dulu cocokmologinya yg beli Hapsoro karena Hapsoro ada kedekatan tersendiri sama Rajawali ARCI FORU
2022-07-31,FORU,awkwkwk stockup bikin konten kurang research yg bener Johan Lensa sudah partially quit under 5 malah ditambah sama Om Hapsoro via BUP Basis Utama Prima Basis Utama Prima ada di Pesakitan Sate Kiloan PSKT sama ARCI juga Kemungkinan Backdoor listing EME FORU
2022-07-05,FORU,Info maseeh target saham besok dan gambaran analisanya cek wa 23 24 Potensi harga akan stabil diatas seperti IPCC tadi dan kejutan naiknya akan mengulang pergerakan FORU tadi Happy cuan sekarung
2022-04-05,FORU,weekly returns screening kasar not bad kecuali FORU potensi masih turun dikit lagi ke box support studydiary saham
2022-03-28,FORU,sama sama melakukan backdoor listing PANI oleh agung sedayu group FORU oleh menantu megawati FORU bakal kayak PANI itu tergantung nilai tendernya tp sampai saat ini blm ada pengumuman resminya
2022-03-28,FORU,BahasSaham Ada apa dengan FORU The next PANI
2022-03-26,FORU,Dari kiri ke kanan to the point FORU ARCI SMMT The Proxy
2022-03-23,FORU,Team Sobat Bandar TSB Hari ini cuan LUBEEEER di FORU CMPP BCAP dan INCO lho TSB amp Sobat Bandar cuan lebar Semua cuan semua senang Mau dpt pendampingan khusus di market Bisa contact ke
2024-11-30,SRAJ,aku beli SRAJ 1jt lebih karena kata temen sudah naik 900 1Y eh malah tren nya stagnan dan cenderung turun terus
2024-11-22,SRAJ,Simak selengkapnya di sini SILO SRAJ HEAL BMHS
2024-07-22,SRAJ,SRAJ MEDC DOID adalah penyesalan terberat
2024-06-07,SRAJ,Bahkan hari ini walaupun masuk papan pemantauan khusus BEI emiten SRAJ yang FCA masih mampu konsisten bertahan Pada harga ATH di Rp 2100 lembar saham SC Stockbit apk DisclaimerON BukanRekokendasi
2024-06-01,SRAJ,Salah satu emiten yang sudah saya mention dari beberapa bulan lalu performanya begitu kuat bahkan setelah suspensi BEI tidak membuat performa dari emiten SRAJ menurun DisclaimerON BukanRekomendasi SC bibit apk
2024-05-08,SRAJ,Akhirnya SRAJ merilis kinerja di kuartal pertama tahun ini Hasilnya emiten yang mengelola RS Mayapada ini mencatatkan laba bersih Rp 4 7 miliar dari yang sebelumnya merugi Rp 13 8 miliar di periode yang sama tahun lalu
2024-04-29,SRAJ,Laba Bersih Emiten RS big caps Q1 24 MIKA 288 9 miliar naik 25 2 yoy SILO 13 6 miliar turun 94 5 yoy SRAJ Belum merilis lapkeu HEAL 190 9 miliar naik 75 3 yoy
2024-03-22,SRAJ,Sesuai dengan yang saya perkirakan kalau sentimen publik tidak akan menurunkan performa saham SRAJ kecuali BEI sendiri yang bertindak Dan ini wajar ya teman teman untuk menghindari indikasi praktik monopoli dan sebagainya dalam rangka menjamin keamanan dana investor
2024-03-14,SRAJ,Sesi 1 perdangan saham emiten pak Tahir SRAJ pada hari ini sempat hampir ditutup dengan zona merah Tapi terlihat daya beli mampu mengembalikan harga ke sisi positif kembali Siapa nih yang masih hold saham ini SC Stockbit apk DisclaimerON BukanRekomendasi
2024-03-12,SRAJ,Saham SRAJ masih mengalami tren positif dari minggu lalu Apa masih ada yang hold emiten satu ini SC bibit apk DisclaimerON BukanRekomendasi
2024-03-06,SRAJ,SRAJ nyerok bawah skrg sudah di atas gak mo jual dulu aah mo kemana
2024-03-05,SRAJ,Pada perdagangan akhir sesi 2 hari ini tampak SRAJ kembali menguat usai sebelumnya diterpa suspensi Sejauh ini belum ada naratif atau sentimen negatif yang menggeser pesona emiten SRAJ SC bibitid apk DisclaimerON BukanRekomendasi
2024-03-05,SRAJ,Hari ini pembukaan saham SRAJ dari suspensi BEI diawali dengan transaksi yang cukup baik walaupun dimulai dengan price yang ARB Akan diupdate berkala SC bibitid apk DisclaimerON BukanRekomendasi
2024-02-13,SRAJ,I found you a RSI Bearish Reversal Divergence on the daily chart of Sejahteraraya Anugrahjaya Tbk sraj sraj rsi bearish divergence jk xidx
2024-02-13,SRAJ,Hari ini open suspensd saham SRAJ PTPS PTPS W HUMI HUMI W dan FORU
2024-02-06,SRAJ,ambil SRAJ abangkuh
2024-02-06,SRAJ,Wacthlist scalping SRAJ BELL DOOH Hati2 dooh Kalo besok gak rame tinggalin dulu
2024-01-26,SRAJ,PT Sejahteraraya Anugrahjaya Tbk SRAJ has ripped 42 10 45 now trading at 444
2023-06-07,SRAJ,Will Sejahteraraya Anugrahjaya Tbk PT Deliver Top Shelf Performance SRAJ
2022-12-15,SRAJ,liat harga SRAJ di 700an skrg agak nyesel nggak beli byk pas ARB di harga 100 bln oktober kmrn bkn rezeki ya gmn lg
2022-11-30,SRAJ,Bah lupa kalo iseng beli SRAJ jumat kemarin Ga buka OLT 3 hari eh tau2 jadi bekal staycation superdeluxe
2022-11-02,SRAJ,SRAJ congrats buat yg jeli entry di harga bawah dan SANGGUP hold sampai kini Historis pola nya mirip Juni 2021 silam Kini sejak 21 Okt 2022 diangkat setingi tingginya Setelah itu dibanting ARB berjilid jilid Stay aware Floating Profit yg belum realized means IMAGINARY profit
2022-10-27,SRAJ,SRAJ duarrrrrrr
2022-10-25,SRAJ,SRAJ penuh tikungan tajam
2022-10-14,SRAJ,Rating Update for Sejahteraraya Anugrahjaya Tbk PT SRAJ
2022-09-23,SRAJ,Rating Update for Sejahteraraya Anugrahjaya Tbk PT SRAJ
2024-12-26,PANI,Haruskah gw FOMO dan buy PANI
2024-12-26,PANI,Shm PANI tidak ada alasan untuk tidak menyentuh 50k lalu stock split 1 20 dan kembali lagi ke 50k PIK2 adalah negara di dalam negara
2024-12-25,PANI,Mengenal fenomena saham PANI Bagaimana jika aku cerita tentang investasi properti murah Hanya 10 ribu rupiah bisa dimulai Cek di sini
2024-12-25,PANI,semua mencari the next PANI
2024-12-24,PANI,PANI jual tanah tuh coba bilang papa Aguan suruh tahan dulu dikit
2024-12-21,PANI,Shm Self reminder juga kalo PANI ke 25000 lumayan profit multibagger di kisaran 310 dengan 48 lot Ada yang masih hold juga ga
2024-12-20,PANI,Shm IHSG ditutup hijau Harus diakui King PP dan King Aguan adalah sang juru selamat IHSG Track record tidak pernah bohong BREN CUAN PANI
2024-12-19,PANI,Waktu nya buy PANI BBCA ICBP ADRO
2024-12-17,PANI,Saham PANI Sumber
2024-12-16,PANI,Salah satu saham fenomel di 2024 pani yang naik berpuluh puluh kali lipat yang melakukan backdoor listing mengubah saham produsen kemasan kaleng menjadi perusahaan properti ialah aguan salah satu konglo yang baru baru ini cukup viral dengan pernyataan menjaga muka R1
2024-12-16,PANI,Serok PANI Induk naga lagi diskon PIK 2 tanda_panah_kanan DUBAI indonesia
2024-12-16,PANI,PANI turun drastis karena abis interview tempo kemarin is such an interesting theory wkwk
2024-12-14,PANI,CBDK membawa nama induknya PANI yang lagi happening sedangkan pengendali KSIX lebih terkenal di sektor kesehatan dan saham MIKA serta KLBF bergerak cenderung lamban Nah kalau disuruh mending yang mana Ulasan saham KSIX ada di sini
2024-12-14,PANI,Anak usaha PANI Uw nya LG
2024-12-14,PANI,PANI PTRO bisa segitu setahun
2024-12-14,PANI,Apakah IPO CBDK kali ini dapat mengikuti jejak PANI atau minimal menyamai IPO sebelumnya yaitu AADI Untuk analisa IPO saham CBDK kamu dapat saksikan disini
2024-12-14,PANI,Tak berhenti di situ PANI juga berencana untuk membawa salah satu anak perusahaannya CBD PIK2 melantai di Bursa Efek Indonesia melalui Initial Public Offering IPO IPO ini sering kali menjadi perhatian para investor karena potensi kenaikan harga di hari pertama
2024-12-14,PANI,Salah satu perusahaan yang memiliki keterkaitan dengan PIK2 adalah PT Pantai Indah Kapuk Dua Tbk dengan kode saham PANI Yang menarik harga saham PANI dalam beberapa waktu terakhir mengalami kenaikan signifikan hingga ribuan persen
2024-12-13,PANI,KSIX Proyek2 perumahan yg mereka kembangkan juga biasa2 aja Gak sehebat PANI kayaj ngebangun ekosistem kawasan KSIX gak kayak gitu Jadi gak perlu di besar2 kan perusahaan KSIX biasa aja
2024-12-13,PANI,Beli saham IPO PIK2 dihujat orang gk ya di twitter Maaf masalah duit saya kapitalis PANI gt CBDK
2024-12-13,PANI,Anak usaha PANI Bangun Kosambi Sukses CBDK mengumumkan akan melaksanakan IPO dengan menawarkan hingga 566 89 juta 10 saham baru di kisaran harga Rp3 000 4 060 saham
2024-12-13,PANI,BREAKING ANAK USAHA PANI PT BANGUN KOSAMBI SUKSES TBK CBDK UMUMKAN RENCANA IPO Finally
2024-12-13,PANI,Hint IPO anak perusahaan TPIA dan PANI
2024-12-13,PANI,anak 9 naga CBDK proses IPO guys prospeknya emang belum terbit tapi kalo saham properti dan real estate bau bau pundi uang di 2025 kalo liat dari kakaknya PANI optimis sih
2024-12-13,PANI,Ulasan lengkap CBDK anaknya PANI bisa kamu baca di sini
2024-12-13,PANI,CBDK anak usaha PANI IPO bagaimana menurutmu
2024-12-13,PANI,Anak Usaha nya PANI mau IPO Mari kita liat apakah bakal nyusul bapaknya wkwkw Tp PIK keknya lg rame rame nya dibahas Nuggu prospestus ajj lah ya keknya perusahaan yg katanya salah satu 9 naga ini
2024-12-13,PANI,BREAKING NEWS Bangun Kosambi Sukses CBDK yg merupakan anak usaha PIK2 PANI bersiap untuk IPO PIK2 PANI sendiri merupakan emiten Agung Sedayu dan Salim Group
2024-12-13,PANI,WADIDAW TMT hari ini 13 Des 2024 mulai BOOKBUILDING nih si CBDK adik si PANI 13 s d 20 Des periode Book Building Prospektus belum muncul tapi udah OPTIMIS sih kalau ini Sektor Properties amp Real Estate KADO akhir tahun lagi nih forget AADI beralih ke CBDK PIK2
2024-12-12,PANI,Wow Anak usaha PANI IPO Kode ticker CBDK Belum ada prospektus nanti kita bahas Punya 9 naga masih perlu di analisa All in langsung aja nih wkwkwk
2024-12-12,PANI,Shm Pak Nusron Wahid bisa saja melakukan hal terlucu abad ini nih Jika PIK2 batal PANI dumping balik tidur ke 50 Siapkan Sunlight buat holder PANI
2024-12-11,PANI,ini yang membuat PANI multibaggerrrrrr Otw 25ribu
2024-12-11,PANI,klo versiku kiri AADI kanan PANI
2024-12-11,PANI,Bro terlalu sibuk dengan AADI disaat PANI fly high 19 125
2024-12-09,PANI,Papa Aguan x Salim juga nggak mau kalah PANI now emiten ke 6 terbesar di IHSG
2024-12-06,PANI,Masuk Bursa saham Contoh AGP masuk ke bursa dengan beli Emiten Garmen baju PANI Lalu scara brtahap konsisten dinaikan valuasi nya dengan mekanisme bursa efek Emiten PACK sblum dibeli adalah prushaan pembuat kemasan Klo dbeli sluruhnya cuman Rp 50 M saja harga nya
2024-12-06,PANI,Jadi backdoor listing ini sangat menarik Saham tahun ini yang fenomenal yakni KARW dan PANI Utk masuk Bursa Bisa lewat IPO Atau merger dan akusisi emitem yang sudah masuk di bursa saham Istilahnya kita sebut backdoor listing Mengapa ini dilakukan Untuk mempercepat
2024-12-06,PANI,PANI HAPCU YA yg ga cuan brarti ga beli
2024-12-06,PANI,PANI HAPCU YA yg ga cuan brarti ga beli
2024-12-05,PANI,Ayo asal jangan minta rumah di proyek PANI saja
2024-12-04,PANI,Anaknya PANI
2024-12-03,PANI,Bahas PANI dong kak
2024-11-30,PANI,3 jam terakhir untuk mengetahui cara trading yg bisa profit 33 3 per 3 bulan di komunitas terbaik yg ada di harga nya dgn track record transparan Abis ini kita fokus lagi seperti biasa yaa PANI BUMI ADRO BBRI INPC
2024-11-29,PANI,Pasti ga punya PANI harga bawah nih
2024-11-29,PANI,Kalau menurutmu seberapa menarik saham PANI ulasan lengkapnya bisa dibaca di sini BSDE CTRA SMRA INPC
2024-11-29,PANI,PANI bergairah lagi setelah Aguan bilang mau melakukan ekspansi di PIK 2 seperti
2024-11-29,PANI,Contoh supply tiba tiba menjadi terbatas adalah ketika tingkat free float ARTO dan PANI menciut karena ada perubahan pengendali Akhirnya harga saham naik signifikan kan
2024-11-28,PANI,Emiten LILY kalo di IHSG bandarmology nya bisa diibaratkan seperti PANI MLPT JIHD atau KARW
2024-11-26,PANI,kalo semua shm kayak PANI ritel2 kecil pada kaya dan perekonomian masyarakat indo jadi kebantu apalagi kalo pada kuat hold modal 1 juta bisa jadi 2 M karna kenaikan 217ribu
2024-11-24,PANI,kurang bijak untuk menjadikan pani sebagai contoh investasi bro
2024-11-24,PANI,Stock market mumpung skrg lagi banyak diskonan Kalo dapet spot light nya bisa panen Contoh Pani sejak awal tahun sampe skrg sudah naik 180 Kalo mau mundur lagi di pertengahan tahun lalu naiknya 300 Dan banyak lagi
2024-11-24,PANI,shm Sudah Watchlist IPO mendatang Setelah take profit AADI siap all in emiten IPO anaknya PANI Konon IPO emiten baru pak PP ada 2 anak usaha TPIA dan anak usaha BREN di 2025 Siap all in
2024-11-22,PANI,Kaya PANI maksudnya Wkwkwkwkkwkwk
2024-11-19,PANI,mau gw capture profit PANI tapi gaenak takut dia tersinggung hehe
2024-11-18,PANI,nanya ga harus karena tidak tahu ya cetek banget pikiran lu ngapain juga lu fokus ke gua jelas menfess lagi debat tentang PANI hadeh mas mas gausah sok deh
2024-11-17,PANI,Sementara itu banyak investor mengidolakan shm PANI yang sudah jelas bermasalah dari lama wkwkwk
2024-11-16,PANI,Hati2 yang punya saham PANI
2024-11-14,PANI,cara analisa Robert miliarder PANI ini membuktikan analisa ga melulu soal FUNdanMENTAL PER PBV atau Penggaris Teknikal atau FOMO Bandarmology shm
2024-11-13,PANI,Shm Setelah PANI PYFA PTRO apakah saham berawalan D yg dimaksud Pak Yanto adalah DEWA Avg bandar 92
2024-11-12,PANI,Mending saham indo all in PANI maybe Jadi naga v
2024-11-12,PANI,Pas nonton series ini pernah ada fasenya gw berkhayal semoga beneran ada perempuan yg tiba tiba duduk di sebelah gw pas gw bangun tidur atau tiba tiba ngetok pintu apart gw trus bilang Hai Aku SORE Istri kamu dari masa depan Mulai hari ini kamu beli PANI all in
2024-11-11,PANI,KARW sekarang PANI 3 tahun yang lalu meratus line sedang proses merger amp akuisisi dengan ad ports untuk mengelola pelabuhan patimban dengan nilai transaksi 30T
2024-11-10,PANI,Setelah terkumpul 300 juta langsung all in PANI nanti saat PIK 5 rampung harga sahamnya udah balik ke 48k setelah stock split 1 12 shm
2024-11-08,PANI,Apakah berpengaruh terhadap saham PANI
2024-11-05,PANI,Semoga keributan ini membawa PANI besok2 ARB berjilid jilid
2024-11-05,PANI,PANI Informasi ini disampaikan untuk tujuan edukasi dan tidak dimaksudkan sebagai saran untuk melakukan transaksi jual beli saham Penting untuk diingat bahwa investasi di pasar saham mengandung risiko yang harus dipahami dan dikelola secara pribadi oleh setiap individu
2024-11-04,PANI,Gak salah beli PANI
2024-11-04,PANI,FYI PIK 2 atau PANI baru saja IPO di BEI per 2018 Dari 108 ke 17150 per lembar saham dalam waktu 6 tahunan Artinya jika Anda punya 100 ribu di 2018 akan menjadi 15 8 juta di 2024 ini atau 158 kali lipat 100 ribu menjadi 15 8 jt 1 jt menjadi 158 jt 100 jt menjadi 15 8 M
2024-11-04,PANI,Anjir gua kira USD udah Rp17 150 Ternyata itu harga saham PANI
2024-11-04,PANI,With the hype around saham PANI and looking at the project Mereka akan buat pantai mutiara baru di PIK 2 and this will make the old pantai mutiara area jadi sunset area untuk properti investment Saya mulai liat rumah2 di pantai mutiara lama di jual murah in this recent
2024-11-04,PANI,Intinya saham PANI untuk trader maupun investor yang pake analisis technical sama fundamental yah sama sama cuan
2024-11-04,PANI,masih mau beli saham nya PANI
2024-11-04,PANI,Ada yang kena prank saham PANI
2024-11-04,PANI,PANI ko bisa naik terus ya
2024-11-04,PANI,Emang laki laki sepotensial apa sih kamu Singkat saja disepelekan seperti HOME tapi bergerak dalam diam seperti PANI Tapi aku sukanya laki laki mapan kayak UNVR
2024-11-03,PANI,Shm Untuk sekarang investasi lebih baik pilih asii pani atau keduanya
2024-11-02,PANI,ayo beli ice cream yang bayar holder PANI 3 tahun lalu yg udah jadi konglo
